relationship_id,entity_id_a,entity_id_b,relationship_type,role_a,role_b
rel-0000757,NK-DhTmaWAMomoFmsTb4WiniE,NK-Nk9cwQwyV8EvueUPVENVuU,UnknownLink,subject,object
rel-0000758,NK-4inEDwFJHhnyAPCdyjvxHE,Q132760324,UnknownLink,subject,object
rel-0000759,NK-BTyZCGMUEoeGfikmHgjhzQ,NK-jkYesqzTZPmG9oZ6nbswZ5,Directorship,director,organization
rel-0000760,NK-mLTieiUr3id3zvBNmkHKzy,NK-jVTuRHWP2jKfo8xossA6jw,Ownership,owner,asset
rel-0000761,NK-cwNFXpdQUgjLkDDcoWcrnj,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000762,NK-dgAidue5iiN3MPPouw76sy,NK-7mGvswpyrVZGTUdApWvZeh,Directorship,director,organization
rel-0000763,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-By7B4vXKkDB6BBBrnQB2by,Ownership,owner,asset
rel-0000764,NK-F8wjwnqdBjSf3ddeitLHzr,NK-Zyiui4dU6xgisrPHdgDeWy,UnknownLink,subject,object
rel-0000765,NK-CkeiuKQxLFPXrEVpgSWDXB,NK-4aeQViLRgpZctfsWyZvcj5,UnknownLink,subject,object
rel-0000766,NK-neZdRCM4Agd9EjZvWy6Yoh,NK-TtkaCqXNtkrr39EgQ48fki,Ownership,owner,asset
rel-0000767,NK-ZqBJy5rWGfHAxW8svPVtBK,NK-g8JoGm8hqTBqbiFnAF7w3M,Directorship,director,organization
rel-0000768,NK-Y3aZU8kcDHeRc4DYaDq6C6,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000769,NK-eRmwUfk3rVngHaYVPbUWUW,NK-Ag6AxcR3RbqWaqzr9PwZHh,Ownership,owner,asset
rel-0000770,NK-U6fh2SDachjqDzeX5wCKP7,NK-Yfxk62ToF9Khg2QrJDF3kg,UnknownLink,subject,object
rel-0000771,NK-NeZbF6nqLrfR7N2EW4wceM,NK-NNU2XQVnifuWsz7SW5G3xK,Ownership,owner,asset
rel-0000772,NK-b3fcbf4CHMfChZi52uVcjS,NK-8urDfaXFgZU7iZuWi8n9NL,Ownership,owner,asset
rel-0000773,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-W7GBTVPfXmUYMkmAVhCUkZ,Ownership,owner,asset
rel-0000774,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-WK7u3qrkCNNc75MuuvAg8B,Ownership,owner,asset
rel-0000775,NK-ZoLZAD84uWAfvqEAq2jwn9,NK-ifZnkYo6JRWEibm8PwG7Wd,Ownership,owner,asset
rel-0000776,NK-ebdrof6uHUpHeSr6S4ugv8,NK-JawC4exLyVCwuAeTp8eKSN,Ownership,owner,asset
rel-0000777,NK-NUekr4nXSGVVF4ji35eD9c,NK-igbAYp4XYXrTTtt9omPLXa,Ownership,owner,asset
rel-0000778,Q5213558,NK-E8wEGshf8EaSXdsPJS6qTH,Ownership,owner,asset
rel-0000779,Q29037021,NK-cvF5CcU8BD7BVAnNupj6xv,Directorship,director,organization
rel-0000780,NK-kWJkcNFmucKGkcWvvHVgwp,NK-mogNbwN2oTeTXGVV6T4GGH,UnknownLink,subject,object
rel-0000781,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-oKrY9G9vRmc8wgo94KCRpi,Ownership,owner,asset
rel-0000782,NK-Uw9MHAFMWYtKWmakShJQcC,NK-oHz4SLzSwsJ3c6TEtM2JrF,Ownership,owner,asset
rel-0000783,NK-2vvGfwMXuwyCd9afFSCWJB,Q4193368,Family,person,relative
rel-0000784,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-K6fU5LCHqpZYyxPRqWcBME,Ownership,owner,asset
rel-0000785,NK-CFjHaQZzpV3AMeP5MB76kp,NK-e3CBszZ4z7Zi2s2FQp5Kbr,UnknownLink,subject,object
rel-0000786,NK-VV76fYXXmPZZAFRNZMRTnV,NK-MhNrqSqiKAvEaZRWWfYiSg,UnknownLink,subject,object
rel-0000787,NK-QnhjTEAjQfSkoeiGsuJr8u,NK-6omu2TCeTcvsN8kSgGnrcp,Ownership,owner,asset
rel-0000788,NK-FrBD4G4yMz4mo6xKaVuxP2,NK-nsy3JSHjVkTWnCNPVhRAv2,UnknownLink,subject,object
rel-0000789,NK-Jw7avcXYaeEocmvwFF5VQH,Q7453960,Family,person,relative
rel-0000790,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-XQmybAHzAusd8YiWwSAaPA,Ownership,owner,asset
rel-0000791,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-3yhZYqKeLNHqSjkMBkdEqP,Ownership,owner,asset
rel-0000792,NK-VFEk7tWyAMEsK8mXcJ33rS,NK-Agn2CUZjxKaj8NQXCgwhG6,Ownership,owner,asset
rel-0000793,NK-n2Mhm3i5F3yie3x3yESafv,NK-ncmFNYA6GJvQhydLA6XtGn,Ownership,owner,asset
rel-0000794,NK-WKPaUW96bghfsxgStb9QGf,NK-nFg77q6vHJLmSUp8mm3pPS,UnknownLink,subject,object
rel-0000795,NK-TNk58pFbTkVGMnkYV3suwh,NK-7ETm8yFU2a7H5Tkb8DUPWi,Ownership,owner,asset
rel-0000796,Q459927,NK-ihvopYSSjxXaaJyQGyJ39M,Ownership,owner,asset
rel-0000797,NK-TVFjFMwaosk6cgmem5u8yb,NK-5GJzY6EeVmSaMSpYYCXyDG,Ownership,owner,asset
rel-0000798,NK-nw7dX5ehRWzLUfkvKLTsLa,NK-nubTEReqHK6XhjRQ2UyvJh,Ownership,owner,asset
rel-0000799,Q55107083,NK-c9kAwRyGyqBQ3qoaJy5gzz,Ownership,owner,asset
rel-0000800,Q5438334,NK-iSbtF76jnTuUjCURLirR7m,Ownership,owner,asset
